PERMITTED_VALUE	LONG_NAME	DEFINITION
Ambient Pack	Ambient Packing	In or of the immediately surrounding area; relating to the immediate surroundings of something.: Performance of the packaging part of the manufacturing process.
Cold Pack	Cold Packing	Having less heat energy than the object against which it is compared; the absence of heat.: Performance of the packaging part of the manufacturing process.
Dry Ice	Dry ice	A solid form of carbon dioxide used as a refrigerant. At temperatures above -78.5 degrees C and ambient pressure, it changes directly to a gas as it absorbs heat.
Ice Pack	Ice Pack	A container filled with frozen material that retains its temperature for an extended period.
Liquid Nitrogen	Liquid Nitrogen	Nitrogen in a liquid state, having been super-cooled to about -200 degrees Celsius.
Not recorded	Not Recorded	The information was not captured or stored.
Not shipped	Negation Shipping	An operation in which a term denies or inverts the meaning of another term or construction.: The act or business of transporting goods.
Other shipping environment	Other Shipping Environment	Different than the one(s) previously specified or mentioned.: The act or business of transporting goods.: The totality of surrounding conditions.
Specimen at Room Temperature	Specimen at Room Temperature	A specimen that has been subjected to and adjusted to the average ambient temperature of a room, usually considered to be around 20 degrees C (68 degrees F).
Unknown	Unknown	Not known, not observed, not recorded, or refused.
